ID,latitude,longitude
664,-1.98633,40.0988
665,-1.84273,40.10122
666,-1.79177,40.11213
667,-1.68732,40.16153
668,-2.26908,40.12128
669,-2.33938,40.3398
670,-2.3642,40.3633
671,-2.26485,40.69167
672,-2.40595,40.67583
673,-2.35822,40.57033
674,-2.38693,40.41618
675,-2.64302,40.19115
676,-3.21453,40.09575
677,-3.32553,39.95412
678,-3.69938,39.81415
679,-3.79245,39.3811
680,-2.208,37.6986
681,-1.28988,36.8165
682,-1.25515,36.90163
683,-1.25358,36.9028
684,-1.27208,36.9546
685,-1.4295,36.68967
686,-1.23033,36.78002
687,0.32533,37.57385
688,-0.24147,37.01415
689,-0.37198,36.93253
690,-0.31558,36.89913
691,-1.06072,37.15368
692,-1.06085,37.24553
693,-1.06327,37.29327
694,-1.10217,37.34042
695,-1.17823,37.44362
696,-1.14597,37.50365
697,-1.1349,37.57118
698,-1.05565,37.829
699,-1.03255,37.87798
700,-0.88898,38.16093
701,-0.88002,38.17442
702,-0.76705,38.40297
703,-0.6433,39.27245
704,-0.47412,39.59837
705,-0.51577,39.68192
706,-0.6139,39.77633
707,-1.08288,39.93152
708,-1.50323,40.02038
709,-1.50513,39.99992
710,-1.18875,39.8284
711,-1.15677,39.865
712,-1.33445,40.00435
713,-1.39787,36.72587
714,-1.41382,36.71148
715,-1.42942,36.68935
716,-1.23035,36.78
717,-1.23318,36.74598
718,-1.23292,36.74602
719,-1.19385,36.7283
720,-1.36298,36.90822
721,-1.33757,36.89165
722,-1.29165,36.81687
723,-1.29333,36.84535
724,-1.31055,36.89135
725,-1.29007,36.86805
726,-1.25503,36.90027
727,-1.25517,36.90158
728,-1.2568,36.90028
729,-1.25722,36.92127
730,-1.25168,36.93478
731,-1.25168,36.9556
732,-1.25133,36.95565
733,-1.26517,36.96552
734,-1.27053,36.96208
735,-1.24583,36.86553
736,-1.19443,36.90163
737,-1.19472,36.90222
738,-1.18187,36.72333
739,-1.20143,36.78555
740,-3.45167,37.6132
741,-3.49672,38.31258
752,0.43095,33.22898
755,-14.658,28.07345
756,-12.54133,27.85684
757,-12.93999,28.65865
758,-17.85411,25.86093
759,-15.40735,28.28768
760,-14.41667,28.41667
761,-14.05012,27.35037
762,-11.36191,29.55158
763,-15.89076,29.04483
764,-14.73853,27.94943
765,-15.8499,27.56666
766,-15.21751,27.3433
767,-15.78627,27.91332
768,-15.13426,30.21293
769,-15.77507,28.17939
770,-14.658,28.07345
771,-12.54133,27.85684
772,-12.93999,28.65865
773,-17.85411,25.86093
774,-15.40735,28.28768
775,-14.41667,28.41667
776,-14.05012,27.35037
777,-11.36191,29.55158
778,-15.89076,29.04483
779,-14.73853,27.94943
780,-15.8499,27.56666
781,-15.21751,27.3433
782,-15.78627,27.91332
783,-15.13426,30.21293
784,-15.77507,28.17939
785,-14.658,28.07345
786,-12.54133,27.85684
787,-12.93999,28.65865
788,-17.85411,25.86093
789,-15.40735,28.28768
790,-14.41667,28.41667
791,-14.05012,27.35037
792,-11.36191,29.55158
793,-15.89076,29.04483
794,-14.73853,27.94943
795,-15.8499,27.56666
796,-15.21751,27.3433
797,-15.78627,27.91332
798,-15.13426,30.21293
799,-15.77507,28.17939
800,11.86667,3.4
801,11.13023,2.9357
803,9.85,2.71667
804,9.35,2.61667
806,8.33333,2.48333
807,7.78333,2.18333
808,7.66667,2.21667
810,7.18333,2.06917
814,6.6641,2.15741
822,7.02583,-2.34083
823,7.02583,-2.34083
824,7.02583,-2.34083
842,5.96944,11.22722
843,6.47,12.62222
844,7.31778,13.59389
845,9.39194,13.5025
846,-17.86355,36.89125
847,-17.86355,36.89125
848,-17.78265,37.00498
849,-17.78265,37.00498
850,-17.31389,37.51181
851,-17.31389,37.51181
852,-17.51734,37.5475
853,-17.51734,37.5475
854,-16.54057,37.17869
855,-16.54057,37.17869
856,-3.35,37.35
857,-16.2167,26.73333
858,-15.75042,26.43839
861,8.661,-8.3912
862,8.6697,-8.91211
863,9.26667,-9.01667
870,12.2,37.2667
871,8.23333,37.58333
872,8.4,39.38333
873,12.2,37.2667
874,8.23333,37.58333
875,8.4,39.38333
876,12.2,37.2667
877,8.23333,37.58333
878,8.4,39.38333
883,0.443,33.24213
884,0.56475,33.23674
892,0.7473,34.05148
893,0.7473,34.05148
894,0.7473,34.05148
895,0.77025,34.01995
896,0.72317,33.89441
897,0.86268,34.10709
898,0.62695,34.20763
959,9.36667,2.66667
961,9.36667,2.66667
963,9.36667,2.66667
964,11.86667,3.38333
965,9.35,13.51667
967,11.15,-4.28333
968,12.5,-1.33333
969,12.16667,-0.35
970,11,-4.04583
971,12.1,15.03333
972,11.71667,15.23333
973,10.27942,15.3755
974,8.4,16.4
975,14.4,33.51667
976,14.4,33.51667
977,14.78333,33.36667
978,14.78333,33.36667
979,13.85,33.55
980,13.85,33.55
981,14.18333,33.13333
982,14.18333,33.13333
994,12.35,-1.5
995,13.61667,-1.08333
996,12.46667,-3.45
997,12.06022,0.36056
999,12.68,-2.19
1000,12.26667,-1.65
1001,12.06667,-1.35
1002,11.66,-1.05
1005,10.95,-3.24
1009,11.86667,3.38333
1011,9.35,2.61667
1012,-3.09,29.9
1013,-3.38,30
1014,-3.42,30.02
1015,-3.01,30.16
1016,-3,30.19
1017,-26.342,32.66775
1018,-26.04127,32.32548
1019,-25.99175,32.53732
1020,-26.76938,32.37545
1021,-24.66713,33.08215
1022,-23.92474,35.16799
1023,-19.53779,34.62493
1024,-25.47348,32.75463
1025,-24.72173,33.87289
1026,-25.73589,32.6753
1027,-25.60583,32.25767
1029,-15.1247,39.35215
1030,-25.9284,32.61314
1031,-17.86355,36.89125
1032,-25.45229,32.02987
1033,-16.14296,33.61841
1034,-26.342,32.66775
1035,-26.04127,32.32548
1036,-25.99175,32.53732
1037,-26.76938,32.37545
1038,-24.66713,33.08215
1039,-23.92474,35.16799
1040,-19.53779,34.62493
1041,-25.47348,32.75463
1042,-24.72173,33.87289
1043,-25.73589,32.6753
1044,-25.60583,32.25767
1046,-15.1247,39.35215
1047,-25.9284,32.61314
1048,-17.86355,36.89125
1049,-25.45229,32.02987
1050,-16.14296,33.61841
1051,-26.342,32.66775
1052,-26.04127,32.32548
1053,-25.99175,32.53732
1054,-26.76938,32.37545
1055,-24.66713,33.08215
1056,-23.92474,35.16799
1057,-19.53779,34.62493
1058,-25.47348,32.75463
1059,-24.72173,33.87289
1060,-25.73589,32.6753
1061,-25.60583,32.25767
1063,-15.1247,39.35215
1064,-25.9284,32.61314
1065,-17.86355,36.89125
1066,-25.45229,32.02987
1067,-16.14296,33.61841
1068,-25.88051,32.56441
1069,-25.99175,32.53732
1070,-26.76938,32.37545
1071,-23.36972,35.31333
1072,-25.88847,32.64401
1073,-25.90294,32.61144
1074,-25.91307,32.53763
1075,-25.93333,32.53691
1076,-19.53779,34.62493
1077,-19.53779,34.62493
1078,-25.88806,32.43306
1079,-15.14997,31.6995
1080,-25.96156,32.4233
1081,-24.80633,32.85729
1082,-25.9284,32.61314
1083,-25.07045,32.81446
1084,-17.86355,36.89125
1085,-17.78265,37.00498
1099,10.96667,-3.25
1102,12.46667,-3.45
1104,12.68364,-2.19245
1105,11.66667,-1.08333
1106,12.06667,-1.35
1107,12.27667,-1.51139
1108,12.18887,-1.40027
1109,13.1,-1.08333
1114,7.15634,3.36945
1115,7.17841,3.39469
1116,7.18333,3.01667
1117,7.03333,3.45
1118,7.21667,3.61667
1119,12.41667,-1.35
1132,15.51764,32.63743
1133,15.57346,32.50445
1134,15.62047,32.50575
1135,15.96236,32.58116
1136,15.38724,32.44902
1137,15.77824,32.61312
1138,0.85707,33.9208
1139,0.61646,34.1453
1140,7.41763,3.94213
1141,7.54863,3.44398
1142,7.98018,3.59425
1143,7.48432,3.8175
1144,8.18227,3.6941
1145,7.52838,3.45685
1147,6.46667,3.3
1151,6.53331,3.39627
1153,6.53332,3.38332
1156,9.12795,4.83243
1158,7.41763,3.94213
1159,7.54863,3.44398
1160,7.98018,3.59425
1161,7.48432,3.8175
1162,8.18227,3.6941
1163,7.52838,3.45685
1165,6.46667,3.3
1169,6.53331,3.39627
1171,6.53332,3.38332
1174,9.12795,4.83243
1176,7.41763,3.94213
1177,7.54863,3.44398
1178,7.98018,3.59425
1179,7.48432,3.8175
1180,8.18227,3.6941
1181,7.52838,3.45685
1183,6.46667,3.3
1187,6.53331,3.39627
1189,6.53332,3.38332
1192,9.12795,4.83243
1194,11.54727,-9.30688
1197,-17.91667,28.68333
1198,-17.91667,28.68333
1210,14.56667,33.33333
1211,14.65,33.08333
1212,14.4,33.51667
1213,14.4,33.5
1214,14.1,33.48333
1215,14.08333,33.61667
1216,14.78333,33.36667
1217,14.25,33.98333
1218,14.18333,33.13333
1219,13.58333,33.61667
1220,13.33333,33.88333
1221,13.53333,33.6
1222,13.16667,33.91667
1225,-27.38333,32.2
1226,-27.25,32.16667
1239,-20.8402,27.22049
1244,14.75712,-17.36203
1274,12.06667,15.03333
1275,10.56667,15
1276,9.11667,13.91667
1286,8.16492,4.25717
1289,7.26986,5.16536
1290,7.40244,5.01083
1291,6.79984,3.90231
1292,-27.38333,32.2
1312,-5.03673,39.78519
1313,-5.10218,39.82076
1314,-5.22026,39.82574
1315,-6.1681,39.19467
1316,-5.03673,39.78519
1317,-5.30136,39.79942
1318,-5.22026,39.82574
1319,-4.94363,39.78107
1320,-6.13131,39.27029
1321,-6.08407,39.22312
1322,-6.1681,39.19467
1323,-6.17832,39.36839
1324,-6.13131,39.27029
1325,-6.08498,39.22328
1326,-4.94363,39.78107
1327,-4.96569,39.7074
1394,13.26843,-16.64508
1395,13.48238,-16.52637
1396,13.56996,-15.59672
1397,13.45891,-15.53669
1398,13.67096,-14.88968
1399,13.30884,-14.21738
1400,11.17833,-4.29306
1401,11.14768,-4.28331
1402,11.45,-4.45
1403,11.5,-4.4
1405,11.03333,-4.35
1406,11.15,-4.16667
1408,7.18333,2.06917
1440,10.46667,15.61667
1441,10.65,15.33333
1442,10.36667,15.45
1443,10.93333,15.53333
1444,10.78333,15.76667
1445,10.95,15.53333
1446,9.31667,15.8
1447,9.13333,15.8
1448,9.4,15.98333
1455,14.9838,1.06842
1456,14.79355,1.04305
1457,13.80425,3.02164
1458,13.63937,3.18652
1459,14.59062,4.17582
1460,14.24817,3.9602
1461,14.74282,6.10368
1462,15.14868,6.81394
1463,14.15939,7.72713
1464,14.24817,8.3613
1465,14.13402,9.50279
1466,13.86767,9.74377
1467,14.9838,1.06842
1468,14.79355,1.04305
1469,13.80425,3.02164
1470,13.63937,3.18652
1471,14.59062,4.17582
1472,14.24817,3.9602
1473,14.74282,6.10368
1474,15.14868,6.81394
1475,14.15939,7.72713
1476,14.13402,9.50279
1477,13.86767,9.74377
1478,14.9838,1.06842
1479,13.80425,3.02164
1480,13.63937,3.18652
1481,14.24817,3.9602
1482,14.74282,6.10368
1483,13.86767,9.74377
1484,13.53741,2.28693
1485,13.53741,2.28693
1486,13.69959,11.16557
1487,13.69959,11.16557
1488,13.69773,13.31581
1489,13.69773,13.31581
1515,9.3,13.38333
1516,9.43189,13.36493
1517,9.39194,13.5025
1518,-16.24694,34.86194
1519,-16.29278,34.91194
1520,-16.24667,34.91111
1521,-16.2342,34.82381
1522,14.70289,-17.42568
1523,14.72198,-17.48958
1524,9.11667,13.91667
1530,5.69324,0.05124
1531,9.35,13.51667
1532,15.56667,35.33333
1533,14.96667,35.95
1534,15.38333,36.43333
1558,7.9,4.26667
1573,12.48,1.52
1574,12.06022,0.36056
1575,11.4824,-0.51695
1576,12.17944,-0.35167
1578,14.05,-0.05
1579,13.57101,-2.41684
1580,13.09583,-3.4253
1581,13.61667,-1.08333
1582,12.06664,-2.23337
1583,12.25108,-2.36113
1584,11.75,-2.92
1586,11.38722,-4.41167
1587,11.23334,-4.16668
1589,11.3,-3.88333
1591,10.33333,-3.18333
1594,10.83325,-4.61417
1596,13.16592,-3.41711
