longitude,latitude,class
37.4833,5.8833,presence
33.48333,14.1,presence
28.7943,-14.6558,presence
6.54114,5.2434,presence
35.6376,13.5195,presence
32.5126,15.5889,presence
34.81917,-0.33955,presence
34.5167,0.55,presence
32.5971,0.4384,presence
-15.9189,16.4967,presence
-1.7212,12.3417,presence
2.66667,9.36667,presence
33.4692,13.8703,presence
24.265,-17.509,presence
38.7,7.868,presence
33.4954,13.8232,presence
5.2329,7.6746,presence
-7.4325,14.1766,presence
3.9602,14.24817,presence
-2.2492,12.8964,presence
-15.59672,13.56996,presence
-13.77452,13.54588,presence
0.0873,12.2565,presence
-17.4359,14.6972,presence
-14.435,16.5,presence
-4.04583,11.02944,presence
37.285,7.606,presence
12.8809,6.5973,presence
24.6526,-17.9822,presence
15.45,10.3667,presence
35.645,-15.801,presence
3.9023,6.7999,presence
-3.784,12.617,presence
-14.9167,13.5667,presence
-14.93472,15.31472,presence
-17.456,14.7326,presence
-2.3274,12.8776,presence
34.2,-0.55,presence
27.91332,-15.78627,presence
35.8612,-6.105,presence
34.46602,-0.35951,presence
-2.2845,12.032,presence
33.0833,14.6667,presence
34.4266,-0.1652,presence
15.61667,10.46667,presence
